,id,username,year,overarching_category,num_solved
603,15071,fob,2017,Misc,21
604,15071,fob,2017,Pwn,24
605,15071,fob,2017,Rev,16
606,15071,fob,2017,Web,35
607,15071,fob,2018,Crypt,2
608,15071,fob,2018,Misc,2
609,15071,fob,2018,Pwn,5
610,15071,fob,2018,Rev,3
611,15071,fob,2018,Web,25
612,15071,fob,2019,Crypt,2
613,15071,fob,2019,Forensics,6
614,15071,fob,2019,Misc,1
615,15071,fob,2019,Rev,7
616,15071,fob,2019,Web,13
617,15071,fob,2020,Pwn,2
618,15071,fob,2020,Web,7
619,15071,fob,2021,Pwn,19
620,15071,fob,2021,Rev,15
621,15071,fob,2021,Web,8
622,15071,fob,2022,Misc,1
623,15071,fob,2022,Pwn,5
624,15071,fob,2022,Rev,1
625,15071,fob,2022,Special,6
626,15071,fob,2022,Web,1
627,15071,fob,2023,Special,7
628,15640,jusb3,2017,Crypt,17
629,15640,jusb3,2017,Forensics,27
630,15640,jusb3,2017,Misc,22
631,15640,jusb3,2017,Pwn,9
632,15640,jusb3,2017,Rev,20
633,15640,jusb3,2017,Web,43
634,15640,jusb3,2018,Crypt,4
635,15640,jusb3,2018,Forensics,21
636,15640,jusb3,2018,Misc,4
637,15640,jusb3,2018,Pwn,32
638,15640,jusb3,2018,Rev,28
639,15640,jusb3,2018,Web,25
640,15640,jusb3,2019,Crypt,7
641,15640,jusb3,2019,Forensics,6
642,15640,jusb3,2019,Misc,1
643,15640,jusb3,2019,Pwn,8
644,15640,jusb3,2019,Rev,6
645,15640,jusb3,2019,Web,7
646,15640,jusb3,2020,Crypt,6
647,15640,jusb3,2020,Forensics,1
648,15640,jusb3,2020,Pwn,6
649,15640,jusb3,2020,Rev,3
650,15640,jusb3,2020,Web,10
651,15640,jusb3,2021,Crypt,2
652,15640,jusb3,2021,Misc,3
653,15640,jusb3,2021,Pwn,7
654,15640,jusb3,2021,Rev,4
655,15640,jusb3,2021,Web,2
656,15640,jusb3,2022,Forensics,2
657,15640,jusb3,2022,Pwn,9
658,15640,jusb3,2022,Rev,1
659,15640,jusb3,2022,Special,8
660,15640,jusb3,2022,Web,7
661,15640,jusb3,2023,Special,25
662,18203,dinus,2017,Crypt,18
663,18203,dinus,2017,Forensics,23
664,18203,dinus,2017,Misc,18
665,18203,dinus,2017,Pwn,25
666,18203,dinus,2017,Rev,18
667,18203,dinus,2017,Web,53
668,18203,dinus,2018,Crypt,3
669,18203,dinus,2018,Forensics,19
670,18203,dinus,2018,Misc,8
671,18203,dinus,2018,Pwn,8
672,18203,dinus,2018,Rev,13
673,18203,dinus,2018,Web,20
674,18203,dinus,2019,Crypt,1
675,18203,dinus,2019,Forensics,6
676,18203,dinus,2019,Pwn,9
677,18203,dinus,2019,Rev,7
678,18203,dinus,2019,Web,8
679,18203,dinus,2020,Forensics,2
680,18203,dinus,2020,Pwn,6
681,18203,dinus,2020,Rev,2
682,18203,dinus,2020,Web,4
683,18203,dinus,2021,Crypt,2
684,18203,dinus,2021,Rev,1
685,18203,dinus,2021,Web,5
686,18203,dinus,2023,Special,1
687,18203,dinus,2025,Crypt,4
688,18533,gdenhez,2017,Crypt,2
689,18533,gdenhez,2017,Forensics,4
690,18533,gdenhez,2017,Misc,3
691,18533,gdenhez,2017,Pwn,4
692,18533,gdenhez,2017,Rev,1
693,18533,gdenhez,2017,Web,13
694,18533,gdenhez,2018,Forensics,1
695,18533,gdenhez,2018,Web,1
696,18533,gdenhez,2019,Crypt,10
